Nam, Nhom_tuoi,So_luong_nam,So_Luong_Nu, Ty_Le_Nam_Nu
2020,0-4,4164.842,3727.629,111.7
2020,5-9,4004.759,3581.342,111.8
2020,10-14,3734.036,3364.138,111
2020,15-19,3364.847,3136.022,107.3
2020,20-24,3500.183,3320.02,105.4
2020,25-29,4363.621,4205.672,103.8
2020,30-34,4278.909,4158.118,102.9
2020,35-39,3915.663,3848.234,101.8
2020,40-44,3525.539,3508.287,100.5
2020,45-49,3266.831,3272.305,99.8
2020,50-54,2907.946,2960.411,98.2
2020,55-59,2530.1,2711.511,93.3
2020,60-64,2012.144,2318.81,86.8
2020,65-69,1339.456,1672.277,80.1
2020,70-74,664.802,987.156,67.3
2020,75-79,422.995,703.519,60.1
2020,80-84,298.067,562.519,53
2020,85-89,193.013,416.16,46.4
2020,90-94,79.054,195.571,40.4
2020,95-99,25.681,72.544,35.4
2020,100+,5.766,18.084,31.9
2025,0-4,4329.543,3959.29,109.4
2025,5-9,4132.741,3699.958,111.7
2025,10-14,3975.751,3549.57,112
2025,15-19,3707.306,3339.042,111
2025,20-24,3297.843,3093.504,106.6
2025,25-29,3405.81,3263.14,104.4
2025,30-34,4281.638,4153.976,103.1
2025,35-39,4215.688,4111.621,102.5
2025,40-44,3859.292,3809.271,101.3
2025,45-49,3455.501,3475.369,99.4
2025,50-54,3159.774,3238.314,97.6
2025,55-59,2744.648,2899.677,94.7
2025,60-64,2333.812,2617.837,89.2
2025,65-69,1793.258,2193.508,81.8
2025,70-74,1125.393,1527.821,73.7
2025,75-79,518.985,854.805,60.7
2025,80-84,298.015,556.77,53.5
2025,85-89,180.789,388.808,46.5
2025,90-94,95.451,234.723,40.7
2025,95-99,29.904,82.448,36.3
2025,100+,7.676,22.961,33.4
2030,0-4,4330.336,4047.846,107
2030,5-9,4299.242,3932.715,109.3
2030,10-14,4105.15,3669.756,111.9
2030,15-19,3949.795,3525.498,112
2030,20-24,3641.79,3298.184,110.4
2030,25-29,3210,3040.027,105.6
2030,30-34,3337.553,3216.95,103.7
2030,35-39,4221.436,4109.571,102.7
2030,40-44,4157.533,4072.735,102.1
2030,45-49,3785.809,3775.141,100.3
2030,50-54,3348.134,3440.175,97.3
2030,55-59,2993.185,3174.908,94.3
2030,60-64,2544.708,2804.881,90.7
2030,65-69,2094.87,2483.785,84.3
2030,70-74,1523.534,2012.616,75.7
2030,75-79,891.012,1330.495,67
2030,80-84,370.704,682.398,54.3
2030,85-89,183.205,388.868,47.1
2030,90-94,90.29,221.834,40.7
2030,95-99,36.162,100.041,36.1
2030,100+,9.036,26.776,33.7
